Ticker,sector,industry,country,employees
DASH,Consumer Cyclical,Internet Retail,United States,23700
DD,Basic Materials,Specialty Chemicals,United States,24000
DDOG,Technology,Software - Application,United States,6500
DE,Industrials,Farm & Heavy Construction Machinery,United States,75800
DECK,Consumer Cyclical,Footwear & Accessories,United States,5500
DELL,Technology,Computer Hardware,United States,108000
DG,Consumer Defensive,Discount Stores,United States,194200
DGX,Healthcare,Diagnostics & Research,United States,55000
DHI,Consumer Cyclical,Residential Construction,United States,14766
DHR,Healthcare,Diagnostics & Research,United States,61000
DIS,Communication Services,Entertainment,United States,177080
DLR,Real Estate,REIT - Specialty,United States,3936
DLTR,Consumer Defensive,Discount Stores,United States,64434
DOV,Industrials,Specialty Industrial Machinery,United States,24000
DOW,Basic Materials,Chemicals,United States,36000
DPZ,Consumer Cyclical,Restaurants,United States,6400
DRI,Consumer Cyclical,Restaurants,United States,197924
DTE,Utilities,Utilities - Regulated Electric,United States,4700
DUK,Utilities,Utilities - Regulated Electric,United States,26413
DVA,Healthcare,Medical Care Facilities,United States,76000
DVN,Energy,Oil & Gas E&P,United States,2300
DXCM,Healthcare,Medical Devices,United States,10200
EA,Communication Services,Electronic Gaming & Multimedia,United States,14500
EBAY,Consumer Cyclical,Internet Retail,United States,11500
ECL,Basic Materials,Specialty Chemicals,United States,48000
ED,Utilities,Utilities - Regulated Electric,United States,15097
EFX,Industrials,Consulting Services,United States,15000
EG,Financial Services,Insurance - Reinsurance,Bermuda,3037
EIX,Utilities,Utilities - Regulated Electric,United States,14013
EL,Consumer Defensive,Household & Personal Products,United States,40470
ELV,Healthcare,Healthcare Plans,United States,104200
EMN,Basic Materials,Specialty Chemicals,United States,14000
EMR,Industrials,Specialty Industrial Machinery,United States,73000
ENPH,Technology,Solar,United States,2781
EOG,Energy,Oil & Gas E&P,United States,3150
EPAM,Technology,Information Technology Services,United States,62050
EQIX,Real Estate,REIT - Specialty,United States,13606
EQR,Real Estate,REIT - Residential,United States,2500
EQT,Energy,Oil & Gas E&P,United States,
ERIE,Financial Services,Insurance Brokers,United States,6715
ES,Utilities,Utilities - Regulated Electric,United States,10680
ESS,Real Estate,REIT - Residential,United States,1712
ETN,Industrials,Specialty Industrial Machinery,Ireland,94443
ETR,Utilities,Utilities - Regulated Electric,United States,12000
EVRG,Utilities,Utilities - Regulated Electric,United States,4731
EW,Healthcare,Medical Devices,United States,15800
EXC,Utilities,Utilities - Regulated Electric,United States,20000
EXE,Energy,Oil & Gas E&P,United States,1500
EXPD,Industrials,Integrated Freight & Logistics,United States,19666
EXPE,Consumer Cyclical,Travel Services,United States,16500
EXR,Real Estate,REIT - Industrial,United States,8012
F,Consumer Cyclical,Auto Manufacturers,United States,169000
FANG,Energy,Oil & Gas E&P,United States,1983
FAST,Industrials,Industrial Distribution,United States,21807
FCX,Basic Materials,Copper,United States,28500
FDS,Financial Services,Financial Data & Stock Exchanges,United States,12579
FDX,Industrials,Integrated Freight & Logistics,United States,300000
FE,Utilities,Utilities - Regulated Electric,United States,12294
FFIV,Technology,Software - Infrastructure,United States,6159
FI,Technology,Information Technology Services,United States,38000
FICO,Technology,Software - Application,United States,3855
FIS,Technology,Information Technology Services,United States,50000
FITB,Financial Services,Banks - Regional,United States,18690
FLT,,,,
FMC,Basic Materials,Agricultural Inputs,United States,5700
FOX,Communication Services,Entertainment,United States,10400
FOXA,Communication Services,Entertainment,United States,10400
FRT,Real Estate,REIT - Retail,United States,304
FSLR,Technology,Solar,United States,8100
FTNT,Technology,Software - Infrastructure,United States,14898
FTV,Technology,Scientific & Technical Instruments,United States,18000
GD,Industrials,Aerospace & Defense,United States,117000
GDDY,Technology,Software - Infrastructure,United States,5518
GE,Industrials,Aerospace & Defense,United States,53000
GEHC,Healthcare,Health Information Services,United States,53000
GEN,Technology,Software - Infrastructure,United States,3500
GEV,Industrials,Specialty Industrial Machinery,United States,76800
GILD,Healthcare,Drug Manufacturers - General,United States,17600
GIS,Consumer Defensive,Packaged Foods,United States,33000
GL,Financial Services,Insurance - Life,United States,3732
GLW,Technology,Electronic Components,United States,56300
GM,Consumer Cyclical,Auto Manufacturers,United States,162000
GNRC,Industrials,Specialty Industrial Machinery,United States,5389
GOOG,Communication Services,Internet Content & Information,United States,187103
GOOGL,Communication Services,Internet Content & Information,United States,187103
GPC,Consumer Cyclical,Auto Parts,United States,63000
GPN,Industrials,Specialty Business Services,United States,27000
GRMN,Technology,Scientific & Technical Instruments,Switzerland,21800
GS,Financial Services,Capital Markets,United States,45900
GWW,Industrials,Industrial Distribution,United States,23500
HAL,Energy,Oil & Gas Equipment & Services,United States,48000
HAS,Consumer Cyclical,Leisure,United States,4985
HBAN,Financial Services,Banks - Regional,United States,20166
HCA,Healthcare,Medical Care Facilities,United States,226000
HD,Consumer Cyclical,Home Improvement Retail,United States,470000
HIG,Financial Services,Insurance - Property & Casualty,United States,19100
HII,Industrials,Aerospace & Defense,United States,44000
HLT,Consumer Cyclical,Lodging,United States,181000
HOLX,Healthcare,Medical Instruments & Supplies,United States,7063
HON,Industrials,Conglomerates,United States,102000
HPE,Technology,Communication Equipment,United States,61000
HPQ,Technology,Computer Hardware,United States,58000
HRL,Consumer Defensive,Packaged Foods,United States,20000
HSIC,Healthcare,Medical Distribution,United States,25000
HST,Real Estate,REIT - Hotel & Motel,United States,165
HSY,Consumer Defensive,Confectioners,United States,18540
HUBB,Industrials,Electrical Equipment & Parts,United States,17800
HUM,Healthcare,Healthcare Plans,United States,65680
HWM,Industrials,Aerospace & Defense,United States,23930
IBM,Technology,Information Technology Services,United States,270300
ICE,Financial Services,Financial Data & Stock Exchanges,United States,12806
IDXX,Healthcare,Diagnostics & Research,United States,11000
IEX,Industrials,Specialty Industrial Machinery,United States,9000
IFF,Basic Materials,Specialty Chemicals,United States,22400
INCY,Healthcare,Biotechnology,United States,2617
INTC,Technology,Semiconductors,United States,108900
INTU,Technology,Software - Application,United States,18200
INVH,Real Estate,REIT - Residential,United States,1750
IP,Consumer Cyclical,Packaging & Containers,United States,65000
IPG,Communication Services,Advertising Agencies,United States,51300
IQV,Healthcare,Diagnostics & Research,United States,90000
IR,Industrials,Specialty Industrial Machinery,United States,21000
IRM,Real Estate,REIT - Specialty,United States,28850
ISRG,Healthcare,Medical Instruments & Supplies,United States,15638
IT,Technology,Information Technology Services,United States,20994
ITW,Industrials,Specialty Industrial Machinery,United States,44000
IVZ,Financial Services,Asset Management,United States,8407
JBHT,Industrials,Integrated Freight & Logistics,United States,33646
JBL,Technology,Electronic Components,United States,138000
JCI,Industrials,Building Products & Equipment,Ireland,94000
JKHY,Technology,Information Technology Services,United States,7240
JNJ,Healthcare,Drug Manufacturers - General,United States,138100
JPM,Financial Services,Banks - Diversified,United States,317160
K,Consumer Defensive,Packaged Foods,United States,24000
KDP,Consumer Defensive,Beverages - Non-Alcoholic,United States,29400
KEY,Financial Services,Banks - Regional,United States,17105
KEYS,Technology,Scientific & Technical Instruments,United States,15500
KHC,Consumer Defensive,Packaged Foods,United States,36000
KIM,Real Estate,REIT - Retail,United States,717
KKR,Financial Services,Asset Management,United States,4834
KLAC,Technology,Semiconductor Equipment & Materials,United States,15000
KMB,Consumer Defensive,Household & Personal Products,United States,38000
KMI,Energy,Oil & Gas Midstream,United States,10933
KMX,Consumer Cyclical,Auto & Truck Dealerships,United States,30000
KO,Consumer Defensive,Beverages - Non-Alcoholic,United States,69700
KR,Consumer Defensive,Grocery Stores,United States,410000
KVUE,Consumer Defensive,Household & Personal Products,United States,22000
L,Financial Services,Insurance - Property & Casualty,United States,13000
LDOS,Technology,Information Technology Services,United States,47000
LEN,Consumer Cyclical,Residential Construction,United States,13265
LH,Healthcare,Diagnostics & Research,United States,70000
LHX,Industrials,Aerospace & Defense,United States,47000
LII,Industrials,Building Products & Equipment,United States,14200
LIN,Basic Materials,Specialty Chemicals,United Kingdom,64842
LKQ,Consumer Cyclical,Auto Parts,United States,47000
LLY,Healthcare,Drug Manufacturers - General,United States,47000
LMT,Industrials,Aerospace & Defense,United States,121000
LNT,Utilities,Utilities - Regulated Electric,United States,2998
LOW,Consumer Cyclical,Home Improvement Retail,United States,300000
LRCX,Technology,Semiconductor Equipment & Materials,United States,19000
LULU,Consumer Cyclical,Apparel Retail,Canada,39000
LUV,Industrials,Airlines,United States,72242
LVS,Consumer Cyclical,Resorts & Casinos,United States,39900
LW,Consumer Defensive,Packaged Foods,United States,10100
LYB,Basic Materials,Specialty Chemicals,United States,20000
LYV,Communication Services,Entertainment,United States,16200
MA,Financial Services,Credit Services,United States,35300
MAA,Real Estate,REIT - Residential,United States,2532
MAR,Consumer Cyclical,Lodging,United States,418000
MAS,Industrials,Building Products & Equipment,United States,18000
MCD,Consumer Cyclical,Restaurants,United States,150000
MCHP,Technology,Semiconductors,United States,19400
MCK,Healthcare,Medical Distribution,United States,43000
MCO,Financial Services,Financial Data & Stock Exchanges,United States,15913
MDLZ,Consumer Defensive,Confectioners,United States,90000
MDT,Healthcare,Medical Devices,Ireland,95000
MET,Financial Services,Insurance - Life,United States,45000
META,Communication Services,Internet Content & Information,United States,75945
MGM,Consumer Cyclical,Resorts & Casinos,United States,60000
MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,41900
MKC,Consumer Defensive,Packaged Foods,United States,14100
MKTX,Financial Services,Capital Markets,United States,881
MLM,Basic Materials,Building Materials,United States,9400
MMC,Financial Services,Insurance Brokers,United States,90000
MMM,Industrials,Conglomerates,United States,61500
MNST,Consumer Defensive,Beverages - Non-Alcoholic,United States,5527
